adjective,category,created_at,id,modifier,name,price
digital,instrument,7/31/2013 7:01,1913,,digital instrument,48.4
reflective,module,4/2/2013 21:29,2253,cleaner,reflective module cleaner,78
miniature,dongle,5/14/2013 11:49,1220,,miniature dongle,16.5
miniature,contraption,8/5/2013 2:54,2694,,miniature contraption,137.5
,widget,4/23/2013 19:38,2073,how-to-manual,widget how-to-manual,0
fuzzy,contraption,7/10/2013 0:05,418,,fuzzy contraption,250
glossy,module,7/20/2013 1:17,3794,,glossy module,120
miniature,module,5/20/2013 8:15,415,,miniature module,55
reflective,dongle,3/27/2013 16:43,2631,refill,reflective dongle refill,31.2
industrial-strength,instrument,5/31/2013 7:35,2668,how-to-manual,industrial-strength instrument how-to-manual,0
organic,module,12/8/2013 5:35,595,,organic module,150
aerodynamic,module,5/7/2013 0:06,3925,cleaner,aerodynamic module cleaner,84
industrial-strength,contraption,4/12/2013 5:18,649,,industrial-strength contraption,750
rechargable,dongle,6/25/2013 16:17,3798,carrying_case,rechargable dongle carrying_case,23.4
reflective,instrument,10/7/2013 17:30,2762,cleaner,reflective instrument cleaner,34.32
prize-winning,gadget,4/4/2013 18:39,2846,carrying_case,prize-winning gadget carrying_case,58.74
analog,tool,10/18/2013 13:32,2009,,analog tool,22.5
miniature,gadget,4/10/2013 1:20,1436,cleaner,miniature gadget cleaner,29.37
analog,device,6/23/2013 11:32,3005,,analog device,45
aerodynamic,instrument,2/27/2013 23:01,2746,storage_unit,aerodynamic instrument storage_unit,154
,tool,5/9/2013 2:03,3340,cleaner,tool cleaner,15
industrial-strength,apparatus,8/12/2013 22:50,1965,charger,industrial-strength apparatus charger,180
aerodynamic,dongle,6/2/2013 8:21,3082,cleaner,aerodynamic dongle cleaner,25.2
organic,tool,4/7/2013 19:03,1110,charger,organic tool charger,7.5
miniature,device,6/15/2013 3:17,3474,wrapper,miniature device wrapper,11
analog,instrument,9/26/2013 16:01,3301,charger,analog instrument charger,7.92
digital,dongle,2/5/2014 3:26,2891,,digital dongle,33
,device,10/9/2013 7:05,963,,device,50
fuzzy,contraption,11/9/2013 10:38,3955,opener,fuzzy contraption opener,125
industrial-strength,module,2/12/2014 10:27,3627,refill,industrial-strength module refill,240
rechargable,widget,5/4/2013 5:31,238,,rechargable widget,3.9
reflective,apparatus,1/8/2014 8:34,2210,,reflective apparatus,390
extra-strength,module,1/11/2014 21:59,3554,carrying_case,extra-strength module carrying_case,120
fuzzy,instrument,2/18/2014 12:15,3250,how-to-manual,fuzzy instrument how-to-manual,0
fuzzy,tool,4/22/2013 9:32,3703,wrapper,fuzzy tool wrapper,10
organic,instrument,3/15/2013 6:51,3086,,organic instrument,66
reflective,dongle,10/24/2013 3:50,3496,,reflective dongle,39
fuzzy,apparatus,12/24/2013 13:38,855,carrying_case,fuzzy apparatus carrying_case,180
fuzzy,device,2/26/2013 3:22,3053,,fuzzy device,50
digital,device,2/24/2014 0:33,3002,refill,digital device refill,44
miniature,dongle,2/20/2014 23:06,1084,carrying_case,miniature dongle carrying_case,9.9
,apparatus,5/14/2013 10:23,3090,,apparatus,300
matte,dongle,7/28/2013 16:00,3326,wrapper,matte dongle wrapper,15
rechargable,device,8/14/2013 21:00,1241,how-to-manual,rechargable device how-to-manual,0
industrial-strength,dongle,5/2/2013 23:23,3102,,industrial-strength dongle,90
,gadget,11/8/2013 2:53,2342,opener,gadget opener,44.5
digital,mechanism,10/30/2013 14:47,332,,digital mechanism,16.5
reflective,widget,7/18/2013 19:46,3788,,reflective widget,3.9
,gadget,1/21/2014 12:15,1192,refill,gadget refill,71.2
extra-strength,tool,6/9/2013 11:55,3486,opener,extra-strength tool opener,25
reflective,contraption,5/26/2013 4:40,422,how-to-manual,reflective contraption how-to-manual,0
matte,apparatus,11/7/2013 20:02,1794,opener,matte apparatus opener,187.5
aerodynamic,instrument,10/19/2013 19:35,1086,warmer,aerodynamic instrument warmer,67.76
glossy,module,2/8/2014 5:49,3240,how-to-manual,glossy module how-to-manual,0
analog,instrument,4/22/2013 22:02,729,,analog instrument,39.6
rechargable,mechanism,12/13/2013 9:27,2348,,rechargable mechanism,19.5
prize-winning,widget,6/11/2013 17:14,2655,carrying_case,prize-winning widget carrying_case,1.98
fuzzy,tool,8/22/2013 19:24,3862,,fuzzy tool,25
miniature,tool,4/12/2013 2:55,2410,warmer,miniature tool warmer,15.125
glossy,gadget,1/24/2014 21:21,1521,wrapper,glossy gadget wrapper,42.72
,module,7/18/2013 12:56,2370,cleaner,module cleaner,60
prize-winning,module,9/15/2013 4:53,819,,prize-winning module,110
miniature,tool,6/27/2013 3:50,113,refill,miniature tool refill,11
,instrument,11/4/2013 21:36,2805,,instrument,44
miniature,device,1/31/2014 19:49,2196,refill,miniature device refill,22
organic,dongle,2/25/2013 17:11,42,,organic dongle,45
prize-winning,module,4/17/2013 23:35,1434,refill,prize-winning module refill,88
aerodynamic,dongle,10/26/2013 7:56,2508,,aerodynamic dongle,42
reflective,tool,11/25/2013 2:55,2443,charger,reflective tool charger,6.5
aerodynamic,widget,6/17/2013 6:13,3623,,aerodynamic widget,4.2
glossy,device,6/5/2013 6:22,2519,cleaner,glossy device cleaner,36
matte,device,7/12/2013 13:08,104,carrying_case,matte device carrying_case,37.5
prize-winning,apparatus,4/7/2013 19:19,1804,cleaner,prize-winning apparatus cleaner,198
reflective,apparatus,9/20/2013 23:00,3370,charger,reflective apparatus charger,78
industrial-strength,module,5/15/2013 2:05,3814,refill,industrial-strength module refill,240
matte,mechanism,3/7/2013 0:22,3483,cleaner,matte mechanism cleaner,11.25
digital,gadget,11/6/2013 23:46,2681,charger,digital gadget charger,19.58
miniature,contraption,2/22/2013 17:01,3923,warmer,miniature contraption warmer,151.25
,apparatus,6/26/2013 23:50,2425,,apparatus,300
,gadget,7/6/2013 20:49,990,,gadget,89
organic,dongle,1/10/2014 19:32,3538,,organic dongle,45
matte,instrument,1/11/2014 19:12,3362,,matte instrument,55
extra-strength,apparatus,1/10/2014 18:32,615,,extra-strength apparatus,600
analog,module,2/6/2014 8:00,3181,wrapper,analog module wrapper,36
glossy,module,7/31/2013 16:13,1552,,glossy module,120
,device,10/25/2013 14:31,619,carrying_case,device carrying_case,30
reflective,contraption,9/29/2013 15:34,1973,wrapper,reflective contraption wrapper,130
prize-winning,widget,4/10/2013 5:32,3517,wrapper,prize-winning widget wrapper,1.32
extra-strength,widget,7/22/2013 20:28,1586,opener,extra-strength widget opener,3
aerodynamic,device,3/3/2013 6:11,3332,carrying_case,aerodynamic device carrying_case,42
industrial-strength,mechanism,1/8/2014 5:41,1057,carrying_case,industrial-strength mechanism carrying_case,27
rechargable,tool,9/16/2013 20:24,1550,,rechargable tool,32.5
,contraption,3/3/2013 6:06,3120,carrying_case,contraption carrying_case,150
fuzzy,contraption,3/30/2013 13:12,2705,storage_unit,fuzzy contraption storage_unit,625
analog,device,4/15/2013 23:36,707,carrying_case,analog device carrying_case,27
aerodynamic,widget,10/10/2013 8:07,1556,,aerodynamic widget,4.2
analog,device,7/17/2013 2:11,296,refill,analog device refill,36
reflective,module,6/12/2013 2:33,2530,warmer,reflective module warmer,143
,module,11/1/2013 11:50,2054,,module,100
matte,instrument,1/8/2014 5:31,2659,storage_unit,matte instrument storage_unit,137.5
analog,instrument,6/19/2013 12:09,127,wrapper,analog instrument wrapper,15.84
organic,instrument,5/20/2013 12:59,579,refill,organic instrument refill,52.8
reflective,module,12/13/2013 15:03,767,cleaner,reflective module cleaner,78
rechargable,gadget,2/17/2014 13:39,826,,rechargable gadget,115.7
matte,gadget,8/15/2013 5:19,1473,opener,matte gadget opener,55.625
miniature,device,9/5/2013 19:22,480,opener,miniature device opener,13.75
aerodynamic,tool,12/25/2013 17:48,764,charger,aerodynamic tool charger,7
industrial-strength,instrument,12/14/2013 13:28,1747,how-to-manual,industrial-strength instrument how-to-manual,0
glossy,mechanism,7/9/2013 5:24,1655,,glossy mechanism,18
industrial-strength,device,11/17/2013 6:02,2906,wrapper,industrial-strength device wrapper,60
prize-winning,module,5/26/2013 10:59,1685,carrying_case,prize-winning module carrying_case,66
analog,instrument,5/19/2013 6:19,2916,carrying_case,analog instrument carrying_case,23.76
industrial-strength,tool,12/21/2013 15:26,2102,,industrial-strength tool,75
digital,contraption,10/23/2013 22:31,2363,wrapper,digital contraption wrapper,110
aerodynamic,contraption,7/2/2013 2:43,2758,warmer,aerodynamic contraption warmer,385
prize-winning,dongle,3/14/2013 7:05,2932,,prize-winning dongle,33
digital,widget,3/16/2013 7:51,2316,,digital widget,3.3
digital,module,8/15/2013 19:55,409,warmer,digital module warmer,121
glossy,gadget,7/20/2013 19:38,217,carrying_case,glossy gadget carrying_case,64.08
matte,dongle,11/14/2013 2:22,2738,cleaner,matte dongle cleaner,22.5
fuzzy,apparatus,7/31/2013 0:38,1625,,fuzzy apparatus,300
miniature,gadget,4/30/2013 3:21,470,cleaner,miniature gadget cleaner,29.37
rechargable,mechanism,10/20/2013 20:06,2489,opener,rechargable mechanism opener,9.75
rechargable,gadget,11/7/2013 18:53,587,storage_unit,rechargable gadget storage_unit,289.25
digital,tool,4/2/2013 15:09,3809,,digital tool,27.5
rechargable,module,6/1/2013 18:18,290,,rechargable module,130
glossy,device,9/12/2013 22:52,1802,,glossy device,60
fuzzy,instrument,3/2/2013 16:34,3682,,fuzzy instrument,44
reflective,widget,10/22/2013 21:47,2977,cleaner,reflective widget cleaner,2.34
analog,gadget,3/22/2013 21:07,2685,storage_unit,analog gadget storage_unit,200.25
extra-strength,gadget,7/21/2013 4:14,1163,how-to-manual,extra-strength gadget how-to-manual,0
aerodynamic,tool,4/26/2013 2:14,3325,,aerodynamic tool,35
,module,7/17/2013 1:44,753,storage_unit,module storage_unit,250
prize-winning,dongle,1/21/2014 14:05,680,,prize-winning dongle,33
rechargable,gadget,1/1/2014 17:29,2843,carrying_case,rechargable gadget carrying_case,69.42
matte,dongle,5/11/2013 14:01,2901,,matte dongle,37.5
rechargable,dongle,6/14/2013 23:33,2559,,rechargable dongle,39
aerodynamic,instrument,1/16/2014 11:15,3645,wrapper,aerodynamic instrument wrapper,24.64
matte,contraption,1/16/2014 1:43,2169,,matte contraption,312.5
miniature,module,6/18/2013 17:57,765,,miniature module,55
extra-strength,contraption,6/16/2013 10:57,1083,,extra-strength contraption,500
glossy,dongle,5/6/2013 10:38,870,,glossy dongle,36
,tool,10/1/2013 0:44,725,wrapper,tool wrapper,10
miniature,widget,7/30/2013 11:35,804,refill,miniature widget refill,1.32
glossy,gadget,2/1/2014 11:46,3698,storage_unit,glossy gadget storage_unit,267
analog,apparatus,5/29/2013 7:03,2301,storage_unit,analog apparatus storage_unit,675
,contraption,10/20/2013 6:49,485,,contraption,250
,device,8/18/2013 10:49,2150,storage_unit,device storage_unit,125
miniature,contraption,1/3/2014 15:07,2980,cleaner,miniature contraption cleaner,82.5
digital,mechanism,4/6/2013 6:23,2372,carrying_case,digital mechanism carrying_case,9.9
,module,5/6/2013 18:53,1227,warmer,module warmer,110
analog,tool,4/30/2013 13:00,3706,,analog tool,22.5
,widget,11/24/2013 12:14,519,wrapper,widget wrapper,1.2
extra-strength,tool,1/29/2014 14:22,3991,,extra-strength tool,50
analog,widget,9/29/2013 19:37,2470,storage_unit,analog widget storage_unit,6.75
digital,contraption,11/17/2013 19:47,2233,,digital contraption,275
extra-strength,apparatus,6/10/2013 19:56,3475,opener,extra-strength apparatus opener,300
organic,widget,11/20/2013 9:43,467,,organic widget,4.5
fuzzy,tool,5/15/2013 11:20,1524,,fuzzy tool,25
industrial-strength,contraption,4/18/2013 6:06,2756,how-to-manual,industrial-strength contraption how-to-manual,0
aerodynamic,widget,3/21/2013 16:22,762,storage_unit,aerodynamic widget storage_unit,10.5
glossy,tool,11/18/2013 21:00,3787,,glossy tool,30
organic,widget,1/8/2014 23:27,1453,charger,organic widget charger,0.9
organic,apparatus,10/26/2013 3:37,3518,,organic apparatus,450
glossy,mechanism,1/27/2014 17:27,3461,warmer,glossy mechanism warmer,19.8
analog,device,8/2/2013 7:09,2063,,analog device,45
glossy,instrument,8/25/2013 15:39,2174,,glossy instrument,52.8
digital,tool,1/31/2014 2:40,1854,,digital tool,27.5
industrial-strength,device,4/24/2013 6:30,505,opener,industrial-strength device opener,75
analog,tool,7/17/2013 17:33,1363,how-to-manual,analog tool how-to-manual,0
,dongle,7/12/2013 11:16,1534,,dongle,30
,contraption,9/8/2013 3:42,251,charger,contraption charger,50
aerodynamic,module,1/28/2014 19:02,263,,aerodynamic module,140
extra-strength,gadget,9/27/2013 5:27,2413,carrying_case,extra-strength gadget carrying_case,106.8
fuzzy,module,2/24/2014 23:17,1657,,fuzzy module,100
reflective,widget,6/22/2013 5:33,805,warmer,reflective widget warmer,4.29
matte,mechanism,5/2/2013 16:02,1146,how-to-manual,matte mechanism how-to-manual,0
rechargable,instrument,12/10/2013 6:27,971,charger,rechargable instrument charger,11.44
prize-winning,dongle,1/12/2014 2:01,215,how-to-manual,prize-winning dongle how-to-manual,0
,module,11/3/2013 17:29,3938,opener,module opener,50
aerodynamic,device,7/1/2013 23:18,2406,storage_unit,aerodynamic device storage_unit,175
matte,module,2/24/2013 23:55,259,opener,matte module opener,62.5
digital,apparatus,8/27/2013 16:34,2936,,digital apparatus,330
analog,device,4/19/2013 9:12,3371,,analog device,45
analog,widget,3/22/2013 10:28,2373,cleaner,analog widget cleaner,1.62
rechargable,device,10/16/2013 4:30,1355,cleaner,rechargable device cleaner,39
industrial-strength,tool,11/19/2013 14:11,1187,carrying_case,industrial-strength tool carrying_case,45
,device,5/21/2013 5:17,2847,storage_unit,device storage_unit,125
rechargable,tool,6/16/2013 18:12,188,,rechargable tool,32.5
matte,instrument,7/26/2013 20:44,3129,charger,matte instrument charger,11
extra-strength,instrument,10/18/2013 15:44,2321,opener,extra-strength instrument opener,44
analog,dongle,12/28/2013 1:35,1699,,analog dongle,27
glossy,device,8/9/2013 15:57,828,warmer,glossy device warmer,66
reflective,device,1/8/2014 19:25,3023,wrapper,reflective device wrapper,26
miniature,instrument,4/28/2013 3:08,3271,refill,miniature instrument refill,19.36
rechargable,module,6/3/2013 6:15,1974,,rechargable module,130
fuzzy,gadget,6/28/2013 8:46,1798,,fuzzy gadget,89
miniature,device,6/24/2013 21:47,462,charger,miniature device charger,5.5
matte,gadget,6/21/2013 5:54,3685,how-to-manual,matte gadget how-to-manual,0
glossy,contraption,5/28/2013 6:33,3379,,glossy contraption,300
rechargable,widget,12/13/2013 9:19,1677,,rechargable widget,3.9
fuzzy,mechanism,2/21/2014 0:56,1788,charger,fuzzy mechanism charger,3
,apparatus,3/10/2013 11:18,1771,carrying_case,apparatus carrying_case,180
extra-strength,module,6/8/2013 15:23,911,how-to-manual,extra-strength module how-to-manual,0
extra-strength,gadget,1/15/2014 11:37,2022,how-to-manual,extra-strength gadget how-to-manual,0
matte,widget,11/30/2013 3:21,2989,,matte widget,3.75
reflective,tool,9/27/2013 10:19,2412,opener,reflective tool opener,16.25
digital,mechanism,11/27/2013 15:01,1511,warmer,digital mechanism warmer,18.15
analog,instrument,2/8/2014 20:07,2532,,analog instrument,39.6
extra-strength,gadget,12/23/2013 22:15,1637,,extra-strength gadget,178
miniature,tool,12/29/2013 4:40,1735,,miniature tool,13.75
extra-strength,module,1/17/2014 5:12,2192,,extra-strength module,200
aerodynamic,device,5/12/2013 15:19,1888,,aerodynamic device,70
extra-strength,widget,11/18/2013 18:15,2497,warmer,extra-strength widget warmer,6.6
digital,apparatus,3/15/2013 17:36,1164,opener,digital apparatus opener,165
rechargable,module,2/17/2014 7:45,551,,rechargable module,130
fuzzy,dongle,12/29/2013 12:03,1037,carrying_case,fuzzy dongle carrying_case,18
analog,apparatus,2/11/2014 12:48,2845,,analog apparatus,270
matte,tool,1/15/2014 8:29,937,wrapper,matte tool wrapper,12.5
reflective,gadget,3/20/2013 2:27,540,wrapper,reflective gadget wrapper,46.28
matte,gadget,2/10/2014 17:52,1628,opener,matte gadget opener,55.625
prize-winning,contraption,11/4/2013 7:01,3506,cleaner,prize-winning contraption cleaner,165
extra-strength,widget,10/22/2013 5:14,13,opener,extra-strength widget opener,3
industrial-strength,widget,1/7/2014 0:15,2261,,industrial-strength widget,9
digital,apparatus,7/5/2013 14:25,1883,how-to-manual,digital apparatus how-to-manual,0
aerodynamic,tool,11/21/2013 23:40,388,cleaner,aerodynamic tool cleaner,21
organic,widget,5/30/2013 15:44,250,how-to-manual,organic widget how-to-manual,0
fuzzy,contraption,12/25/2013 16:16,1663,carrying_case,fuzzy contraption carrying_case,150
aerodynamic,contraption,7/27/2013 8:36,662,storage_unit,aerodynamic contraption storage_unit,875
fuzzy,gadget,8/6/2013 20:31,354,wrapper,fuzzy gadget wrapper,35.6
fuzzy,module,9/22/2013 15:42,3308,warmer,fuzzy module warmer,110
matte,module,7/5/2013 22:42,2526,refill,matte module refill,100
glossy,instrument,9/24/2013 3:27,3159,,glossy instrument,52.8
miniature,mechanism,5/12/2013 8:41,1251,wrapper,miniature mechanism wrapper,3.3
fuzzy,widget,7/28/2013 4:59,2513,refill,fuzzy widget refill,2.4
analog,mechanism,2/15/2014 6:22,1692,opener,analog mechanism opener,6.75
glossy,mechanism,8/8/2013 16:37,1480,refill,glossy mechanism refill,14.4
matte,contraption,5/8/2013 3:15,3124,opener,matte contraption opener,156.25
reflective,apparatus,8/21/2013 14:52,2855,cleaner,reflective apparatus cleaner,234
digital,module,7/14/2013 2:36,2923,wrapper,digital module wrapper,44
matte,tool,3/29/2013 20:53,1594,how-to-manual,matte tool how-to-manual,0
organic,tool,8/8/2013 13:10,438,opener,organic tool opener,18.75
rechargable,device,6/17/2013 10:00,3287,,rechargable device,65
rechargable,apparatus,12/31/2013 4:36,1987,,rechargable apparatus,390
,instrument,2/24/2014 11:23,2229,how-to-manual,instrument how-to-manual,0
rechargable,widget,6/30/2013 19:09,3469,warmer,rechargable widget warmer,4.29
,mechanism,6/13/2013 0:26,3865,,mechanism,15
,apparatus,4/24/2013 5:56,3996,warmer,apparatus warmer,330
matte,contraption,6/10/2013 20:04,1922,,matte contraption,312.5
rechargable,mechanism,7/21/2013 4:16,412,refill,rechargable mechanism refill,15.6
matte,dongle,10/6/2013 20:01,835,refill,matte dongle refill,30
analog,tool,4/9/2013 15:53,1488,opener,analog tool opener,11.25
reflective,gadget,6/1/2013 13:21,745,charger,reflective gadget charger,23.14
reflective,device,7/24/2013 17:34,3465,carrying_case,reflective device carrying_case,39
reflective,apparatus,2/26/2013 2:41,93,wrapper,reflective apparatus wrapper,156
industrial-strength,module,10/22/2013 12:16,636,refill,industrial-strength module refill,240
prize-winning,contraption,4/25/2013 2:33,1017,warmer,prize-winning contraption warmer,302.5
industrial-strength,instrument,4/3/2013 11:22,1620,charger,industrial-strength instrument charger,26.4
miniature,apparatus,4/21/2013 23:27,3368,opener,miniature apparatus opener,82.5
matte,module,1/10/2014 2:19,836,opener,matte module opener,62.5
reflective,device,9/4/2013 18:00,1695,charger,reflective device charger,13
,instrument,4/21/2013 0:09,1156,,instrument,44
,mechanism,2/20/2014 15:21,2392,,mechanism,15
analog,contraption,8/24/2013 21:53,2580,,analog contraption,225
fuzzy,instrument,1/20/2014 22:02,674,how-to-manual,fuzzy instrument how-to-manual,0
extra-strength,dongle,11/25/2013 23:59,294,wrapper,extra-strength dongle wrapper,24
,dongle,4/19/2013 15:42,3452,storage_unit,dongle storage_unit,75
,instrument,10/27/2013 21:48,1599,carrying_case,instrument carrying_case,26.4
,apparatus,6/29/2013 13:59,1791,,apparatus,300
prize-winning,tool,1/22/2014 23:43,461,storage_unit,prize-winning tool storage_unit,68.75
extra-strength,mechanism,10/29/2013 0:32,3036,charger,extra-strength mechanism charger,6
industrial-strength,instrument,2/28/2013 1:47,1000,,industrial-strength instrument,132
fuzzy,widget,11/29/2013 22:57,909,charger,fuzzy widget charger,0.6
analog,device,11/9/2013 13:55,1755,carrying_case,analog device carrying_case,27
glossy,mechanism,6/12/2013 14:31,78,opener,glossy mechanism opener,9
,apparatus,1/18/2014 6:09,2088,,apparatus,300
,gadget,1/4/2014 11:09,197,refill,gadget refill,71.2
digital,widget,10/3/2013 10:29,2735,wrapper,digital widget wrapper,1.32
industrial-strength,instrument,1/22/2014 6:25,228,opener,industrial-strength instrument opener,66
digital,instrument,1/19/2014 18:59,1920,opener,digital instrument opener,24.2
,device,8/10/2013 14:32,2001,,device,50
digital,device,1/11/2014 7:04,441,,digital device,55
organic,dongle,5/1/2013 7:05,509,storage_unit,organic dongle storage_unit,112.5
matte,module,5/12/2013 15:00,2590,,matte module,125
glossy,tool,3/20/2013 17:01,1141,,glossy tool,30
aerodynamic,module,4/18/2013 12:47,3267,,aerodynamic module,140
matte,module,11/14/2013 15:37,2726,opener,matte module opener,62.5
organic,module,2/24/2013 13:13,6,,organic module,150
industrial-strength,gadget,8/20/2013 14:57,2853,opener,industrial-strength gadget opener,133.5
extra-strength,instrument,8/15/2013 15:31,601,carrying_case,extra-strength instrument carrying_case,52.8
aerodynamic,gadget,2/7/2014 13:46,2198,,aerodynamic gadget,124.6
industrial-strength,contraption,9/25/2013 16:22,1649,,industrial-strength contraption,750
extra-strength,device,9/30/2013 2:24,3806,opener,extra-strength device opener,50
digital,instrument,8/23/2013 16:28,2706,carrying_case,digital instrument carrying_case,29.04
matte,device,4/21/2013 11:11,194,refill,matte device refill,50
,mechanism,1/13/2014 7:08,3118,how-to-manual,mechanism how-to-manual,0
prize-winning,gadget,2/25/2014 23:19,3188,,prize-winning gadget,97.9
matte,widget,2/10/2014 17:49,1240,how-to-manual,matte widget how-to-manual,0
prize-winning,gadget,8/8/2013 8:49,2310,,prize-winning gadget,97.9
miniature,mechanism,8/27/2013 4:43,1860,,miniature mechanism,8.25
,mechanism,7/19/2013 7:18,3272,storage_unit,mechanism storage_unit,37.5
reflective,module,5/10/2013 9:32,3254,carrying_case,reflective module carrying_case,78
glossy,device,3/5/2013 18:13,118,refill,glossy device refill,48
prize-winning,apparatus,7/17/2013 7:07,537,storage_unit,prize-winning apparatus storage_unit,825
aerodynamic,contraption,10/3/2013 4:37,1064,warmer,aerodynamic contraption warmer,385
extra-strength,gadget,6/6/2013 6:09,884,opener,extra-strength gadget opener,89
analog,tool,1/15/2014 10:28,92,,analog tool,22.5
miniature,dongle,8/30/2013 7:11,1595,cleaner,miniature dongle cleaner,9.9
organic,mechanism,12/29/2013 1:04,2700,,organic mechanism,22.5
analog,contraption,1/14/2014 1:27,2440,opener,analog contraption opener,112.5
organic,gadget,7/30/2013 22:59,3228,,organic gadget,133.5
digital,module,5/29/2013 13:02,996,,digital module,110
industrial-strength,widget,12/22/2013 2:32,3481,,industrial-strength widget,9
analog,device,9/2/2013 22:02,1630,,analog device,45
fuzzy,mechanism,3/26/2013 10:17,1712,opener,fuzzy mechanism opener,7.5
glossy,apparatus,12/26/2013 22:20,3279,,glossy apparatus,360
,gadget,8/31/2013 8:51,3017,refill,gadget refill,71.2
prize-winning,dongle,11/14/2013 22:10,1887,how-to-manual,prize-winning dongle how-to-manual,0
aerodynamic,widget,2/17/2014 16:38,1719,,aerodynamic widget,4.2
industrial-strength,widget,4/21/2013 11:21,3316,storage_unit,industrial-strength widget storage_unit,22.5
rechargable,instrument,2/11/2014 17:22,895,wrapper,rechargable instrument wrapper,22.88
,contraption,2/19/2014 16:24,2747,charger,contraption charger,50
prize-winning,module,6/30/2013 15:30,713,storage_unit,prize-winning module storage_unit,275
analog,mechanism,11/27/2013 12:08,3555,carrying_case,analog mechanism carrying_case,8.1
extra-strength,device,3/4/2013 12:31,3219,charger,extra-strength device charger,20
prize-winning,dongle,3/19/2013 6:18,430,charger,prize-winning dongle charger,6.6
miniature,dongle,3/29/2013 12:50,2525,refill,miniature dongle refill,13.2
organic,dongle,12/23/2013 17:13,2318,carrying_case,organic dongle carrying_case,27
aerodynamic,apparatus,1/15/2014 10:41,921,,aerodynamic apparatus,420
industrial-strength,dongle,12/27/2013 12:09,3309,,industrial-strength dongle,90
aerodynamic,mechanism,8/20/2013 13:38,2560,,aerodynamic mechanism,21
industrial-strength,gadget,1/12/2014 7:48,1969,carrying_case,industrial-strength gadget carrying_case,160.2
analog,dongle,9/3/2013 23:08,3024,carrying_case,analog dongle carrying_case,16.2
,instrument,6/15/2013 14:14,210,cleaner,instrument cleaner,26.4
prize-winning,apparatus,2/22/2014 12:01,3471,,prize-winning apparatus,330
reflective,mechanism,3/8/2013 8:01,1621,opener,reflective mechanism opener,9.75
glossy,gadget,2/2/2014 17:54,406,how-to-manual,glossy gadget how-to-manual,0
digital,mechanism,7/10/2013 3:38,2610,wrapper,digital mechanism wrapper,6.6
,module,8/23/2013 16:22,2167,opener,module opener,50
prize-winning,tool,12/30/2013 1:30,2672,refill,prize-winning tool refill,22
reflective,contraption,5/23/2013 13:20,3346,,reflective contraption,325
glossy,tool,7/11/2013 17:02,1740,,glossy tool,30
prize-winning,instrument,7/28/2013 3:23,55,charger,prize-winning instrument charger,9.68
rechargable,gadget,8/25/2013 13:20,2785,,rechargable gadget,115.7
industrial-strength,widget,2/9/2014 23:23,1796,storage_unit,industrial-strength widget storage_unit,22.5
analog,tool,3/25/2013 17:21,2094,,analog tool,22.5
organic,apparatus,2/15/2014 3:18,575,charger,organic apparatus charger,90
fuzzy,module,3/24/2013 17:01,3594,,fuzzy module,100
analog,apparatus,7/19/2013 11:52,426,wrapper,analog apparatus wrapper,108
glossy,device,3/14/2013 8:07,1277,storage_unit,glossy device storage_unit,150
reflective,mechanism,10/9/2013 21:10,981,refill,reflective mechanism refill,15.6
rechargable,mechanism,1/9/2014 10:22,2641,cleaner,rechargable mechanism cleaner,11.7
matte,dongle,9/9/2013 0:58,1955,refill,matte dongle refill,30
fuzzy,dongle,6/16/2013 7:09,1445,charger,fuzzy dongle charger,6
organic,mechanism,11/22/2013 8:22,3137,refill,organic mechanism refill,18
,contraption,3/29/2013 4:21,2267,carrying_case,contraption carrying_case,150
fuzzy,contraption,10/3/2013 1:22,2065,,fuzzy contraption,250
fuzzy,tool,11/23/2013 4:52,840,,fuzzy tool,25
extra-strength,dongle,7/10/2013 8:25,1698,storage_unit,extra-strength dongle storage_unit,150
digital,gadget,12/31/2013 5:06,1645,carrying_case,digital gadget carrying_case,58.74
matte,apparatus,6/5/2013 4:11,2682,cleaner,matte apparatus cleaner,225
miniature,device,1/29/2014 6:27,927,,miniature device,27.5
prize-winning,gadget,9/21/2013 12:58,172,opener,prize-winning gadget opener,48.95
extra-strength,instrument,1/27/2014 11:41,1873,how-to-manual,extra-strength instrument how-to-manual,0
,device,5/30/2013 19:31,3149,storage_unit,device storage_unit,125
reflective,gadget,9/17/2013 12:39,3992,,reflective gadget,115.7
reflective,gadget,12/19/2013 1:34,1724,,reflective gadget,115.7
reflective,gadget,7/20/2013 10:45,2787,refill,reflective gadget refill,92.56
digital,instrument,9/11/2013 23:20,1372,,digital instrument,48.4
prize-winning,apparatus,7/28/2013 9:11,328,,prize-winning apparatus,330
reflective,device,11/9/2013 4:58,801,,reflective device,65
,dongle,6/18/2013 22:12,3078,storage_unit,dongle storage_unit,75
analog,module,5/2/2013 11:37,3795,,analog module,90
analog,gadget,7/1/2013 10:38,1497,wrapper,analog gadget wrapper,32.04
prize-winning,gadget,10/21/2013 21:16,2808,,prize-winning gadget,97.9
aerodynamic,mechanism,8/6/2013 10:53,27,,aerodynamic mechanism,21
glossy,module,10/11/2013 22:33,495,storage_unit,glossy module storage_unit,300
reflective,apparatus,9/18/2013 2:09,85,,reflective apparatus,390
,widget,5/4/2013 16:33,1376,charger,widget charger,0.6
prize-winning,instrument,4/18/2013 9:10,2007,how-to-manual,prize-winning instrument how-to-manual,0
